b,mu,po_train_auroc,so_train_auroc,po_val_auroc,so_val_auroc,po_loss_train,so_loss_train,po_loss_val,so_loss_val,po_gain,so_gain
0.9,1000,0.7903314698603836,0.5666429536586484,0.6788411158089731,0.5764531174039864,0.2364902189896834,0.6604783423777784,0.2630678280503061,0.6571238512929689,-5.8966960102448525,97.61473551817659
0.9,1000,0.7903314698603836,0.5666429536586484,0.6789738487116189,0.5761523152649489,0.2364902189896834,0.6604783423777784,0.2631616568329065,0.6572464196648071,-5.87829611607781,97.51161709734664
0.9,100,0.7298333179264682,0.7586379241227602,0.6134401268035204,0.7682114426349053,0.25245913313382784,0.5605240761292676,0.28090976867323514,0.5549703547948925,-14.962807367210178,163.35168719704086
0.9,10,0.814317867366593,0.3052731489858931,0.716287296007937,0.3057220770539621,0.2267847664437925,0.9002776266441341,0.2543787735184914,0.901393098445473,-0.7057769623923505,4.805031970616465
0.9,5,0.8125049895511147,0.30349083772453067,0.7153775427554964,0.30291838842975205,0.22665188567707517,0.9040380345961545,0.2545916202083488,0.9062378830486302,-0.8318901056247878,3.8438953764668633
0.8,1000,0.6749204020737135,0.916271461081743,0.5891456457794813,0.918022301895965,0.26538612301424375,0.4853781424274089,0.2842356291289397,0.4823406659604502,-18.33059237586283,214.7085667711305
0.8,1000,0.6749204020737135,0.916271461081743,0.5892977557482066,0.9182065052260573,0.26538612301424375,0.4853781424274089,0.2841840726166323,0.4823626860724416,-18.30950636575901,214.77171378388618
0.8,100,0.8048517985873167,0.40574174313622896,0.708862488712859,0.4086210956490034,0.23331995710068323,0.7637528264363554,0.25679799210641846,0.7613128800086073,-1.7350294364730325,40.07999489615897
0.8,10,0.806949486193681,0.3921853569511505,0.7116595682014595,0.391166215969859,0.2314381328372198,0.8104598066348788,0.25557084395813967,0.8106732962778751,-1.3472886009969542,34.09626208744494
0.8,5,0.8111379813571882,0.39645526590873237,0.7081285823350915,0.3979650279533301,0.22999873823490846,0.8100056221891706,0.2565035357713858,0.8083675044145804,-1.836766077579062,36.4269727582485
0.7,1000,0.6965295455682026,0.8879273349770225,0.6157217763344016,0.8902903956003889,0.2552042258868374,0.5310493286024198,0.27172009802877245,0.5287335347291058,-14.64651721565281,205.20175145075382
0.7,1000,0.6965295455682026,0.8879273349770225,0.6157217763344016,0.8902903956003889,0.2552042258868374,0.5310493286024198,0.27172009802877245,0.5287335347291058,-14.64651721565281,205.20175145075382
0.7,100,0.7921495001356309,0.4708842174798792,0.7012870247290117,0.47464678536703936,0.23809771410154928,0.699485978682544,0.2584076977420683,0.6974224051150785,-2.7851664619622514,62.71435806830033
0.7,10,0.7983149638039702,0.4865122400660503,0.697436317272329,0.49080388612056397,0.23605313308571477,0.7003969232566893,0.2598201287647153,0.6981723698316883,-3.3189648515014594,68.25319738714589
0.7,5,0.797918345636094,0.495761120700525,0.6978669725659499,0.49913519385026733,0.23522884503373498,0.701856918255527,0.25947978758214946,0.6998092844959822,-3.2592659248062117,71.10926516407156
0.65,1000,0.7619009848775306,0.6287611704097286,0.6751943519727791,0.6345367950899369,0.24486376521773878,0.6338331007863558,0.2606624581616707,0.6325767384183533,-6.40222302954929,117.5264859403502
0.65,1000,0.7619009848775306,0.6287611704097286,0.6751943519727791,0.6345367950899369,0.24486376521773878,0.6338331007863558,0.26065933878856873,0.6325736190452512,-6.40222302954929,117.5264859403502
0.65,100,0.7648905632699328,0.6508479931743777,0.6721046787863756,0.6551083191541079,0.24331907255568744,0.6261804991696154,0.2622965028698703,0.6243571038650594,-6.8305242156709385,124.57864016488533
0.65,10,0.7768214778770046,0.616328264475003,0.6793638121664722,0.6240827813563443,0.2399638315156911,0.642018831703933,0.26267055051894,0.6388481115106965,-5.824238032849858,113.94273021643156
0.65,5,0.7895627228628279,0.5642351329402941,0.6900594682157986,0.5724298887943607,0.23789290829852522,0.6628944185386726,0.26102075826290744,0.6594332518975512,-4.341569188638531,96.23552663957639
0.6,1000,0.6431398180575529,0.9848684519435383,0.5723641377011824,0.986369713174526,0.2734776232838666,0.43526940109647755,0.2886531430032035,0.43364843109010737,-20.65690308292241,238.13884270404623
0.6,1000,0.6431398180575529,0.9848684519435383,0.5723641377011824,0.986369713174526,0.2734776232838666,0.43526940109647755,0.2886531430032035,0.43364843109010737,-20.65690308292241,238.13884270404623
0.6,100,0.7065681738621779,0.8681818560742094,0.62488083104361,0.8687534182061254,0.25274370130359564,0.5423948967400274,0.2699700964243536,0.540919523416762,-13.376857365229169,197.81862875936304
0.6,10,0.7465470184685374,0.7533276844234609,0.6498631979134776,0.7581224173553718,0.24502544743691848,0.59241736283567,0.26653659250978523,0.5904902960653008,-9.91371524082036,159.8930536983968
0.6,5,0.7543017128897873,0.7131417240268045,0.6590300034491178,0.718812287311619,0.24401130700515644,0.6072555550258224,0.26508622865527215,0.6050365137107008,-8.642980944022016,146.41709057625235
